name	birth_date	birth_place	death_date	death_place	num_books	adepts	readers
Роальд Мандельштам	1932-09-16	Ленинград	1961-01-26	Ленинград	3	2	14
Лайон Спрэг Де Камп	1907-11-27	Нью-Йорк, США	2000-11-06	Плано, штат Техас, США	62	7	583
Елена Фанайлова	1962-12-19	Воронежская область			15	0	28
Сергей Карамбиров	1951-07-25	г. Москва	2016-08-08		2	0	1
Нельсон Мандела	1918-07-18	Мфезо, близ Умтаты	2013-12-05	Йоханнесбург	11	2	18
Франсиско Мадариага	1927-09-09	Concepción, провинция Corrientes, Аргентина	2000-09-24	Буэ́нос-А́йрес, Аргентина	0	0	0
Сусанна Георгиевская	1916-05-23	Одесса	1974-11-27	Москва	36	2	135
Лисандро Отеро	1932-06-04	Гавана, Куба	2008-01-03	Гавана, Куба	7	0	4
Самюэль Филлипс Хантингтон	1927-04-18	Нью-Йорк, США	2008-12-24	Мартас-Винъярд, США	18	6	407
Петр Сажин	1906-06-17	с. Большая Лозовка, Тамбовский уезд, Российская империя	1991-01-12	Москва, СССР	18	0	7
Змитрок Беспалый	1934-08-28	д. Великий Бор, Хойникский р-н, Гомельская обл.			0	0	0
Джастин Скотт	1944-07-20	Манхэттен, Нью-Йорк, США			22	0	19
Ренэ Маран	1887-11-05	Фор-де-Франс, Мартиника	1960-05-09	Париж, Франция	1	0	0
Аравинд Адига	1974-10-23	Мадрас, Индия			13	4	894
Арнольд Гессен	1878-04-16	Короча, Курская губерния	1976-03-12		28	1	31
Даниил Андреев	1906-11-02	Берлин	1959-03-30	Москва	51	10	342
Марко Черемшина	1874-06-13	Кобаки	1927-04-25	Снятин	1	0	12
Стефан Продев	1927-09-15	София, Болгария	2001-09-04	село Енчевци, край Трявна, Болгария	5	0	4
Надин Гордимер	1923-11-20	Спрингс, Трансвааль, ЮАС	2014-07-13	Йоханнесбург, ЮАР	33	3	68
Айрин Пепперберг	1949-04-01	Бруклин, Нью Йорк			1	1	3
Лев Квин	1922-04-20	Рига	1996-02-27	Барнаул	15	0	20
Стюарт Холл	1932-02-03	Кингстон, Ямайка	2014-02-10	Лондон, Великобритания	2	0	0
Владимир Колесов	1934-04-10				54	1	74
Михаил Шелег	1955-09-27	Корсаков Сахалинская обл.			5	0	0
